equipo_local,equipo_visitante,goles_local,goles_visitante,resultado
Rosario Central,Racing Club,0,2,V
Atl Tucuman,Union,0,0,E
Arsenal,River Plate,0,3,V
Boca Juniors,Newells,3,1,L
Colon,Patronato,4,0,L
Independiente,Def y Justicia,0,1,V
Chacarita,Temperley,1,2,V
Godoy Cruz,San Martin (SJ),2,0,L
Def y Justicia,Rosario Central,3,1,L
Velez,Banfield,1,0,L
Newells,Independiente,0,1,V
Lanus,Argentinos,0,0,E
Huracan,Atl Tucuman,3,2,L
Patronato,San Lorenzo,0,0,E
Belgrano,Colon,1,0,L
Union,Talleres (C),3,0,L
Olimpo,Tigre,1,5,V
Racing Club,Arsenal,2,0,L
Gimnasia (LP),Boca Juniors,2,2,E
River Plate,Estudiantes (LP),2,0,L
San Martin (SJ),Velez,0,2,V
San Lorenzo,Belgrano,2,0,L
Arsenal,Rosario Central,4,0,L
Argentinos,Godoy Cruz,1,2,V
Newells,Def y Justicia,1,0,L
Talleres (C),Huracan,0,0,E
Atl Tucuman,Olimpo,1,1,E
Temperley,Patronato,1,2,V
Independiente,Gimnasia (LP),2,2,E
Tigre,Lanus,0,0,E
Boca Juniors,Union,2,0,L
Estudiantes (LP),Racing Club,1,2,V
Banfield,Chacarita,2,1,L
Colon,River Plate,0,0,E
Chacarita,San Martin (SJ),1,4,V
Lanus,Atl Tucuman,0,0,E
Huracan,Boca Juniors,3,3,E
Patronato,Banfield,0,0,E
Def y Justicia,Arsenal,2,0,L
Olimpo,Talleres (C),2,2,E
Union,Independiente,1,0,L
Belgrano,Temperley,2,3,V
Godoy Cruz,Tigre,2,0,L
Velez,Argentinos,1,1,E
Racing Club,Colon,1,3,V
Rosario Central,Estudiantes (LP),1,1,E
Gimnasia (LP),Newells,2,0,L
River Plate,San Lorenzo,2,0,L
Velez,Newells,2,0,L
Tigre,San Lorenzo,2,2,E
Gimnasia (LP),Argentinos,1,0,L
Union,Aldosivi,1,0,L
Patronato,Colon,0,0,E
Belgrano,San Martin (SJ),0,0,E
Boca Juniors,Talleres (C),1,0,L
Godoy Cruz,Estudiantes (LP),1,0,L
Lanus,Def y Justicia,2,2,E
Rosario Central,Banfield,1,0,L
Huracan,River Plate,0,0,E
Atl Tucuman,Racing Club,2,2,E
Independiente,San Martin (T),4,0,L
Talleres (C),Rosario Central,0,1,V
Newells,Independiente,2,2,E
Def y Justicia,Atl Tucuman,1,1,E
Banfield,Gimnasia (LP),1,0,L
Argentinos,Godoy Cruz,0,0,E
River Plate,Belgrano,0,0,E
San Martin (SJ),Patronato,1,0,L
Colon,Tigre,2,2,E
Aldosivi,Huracan,2,1,L
San Lorenzo,Lanus,2,2,E
Racing Club,Velez,2,0,L
Estudiantes (LP),Boca Juniors,2,0,L
San Martin (T),Union,1,1,E
Patronato,Racing Club,0,3,V
Belgrano,Estudiantes (LP),2,1,L
Atl Tucuman,Colon,2,1,L
Independiente,Def y Justicia,0,1,V
Gimnasia (LP),Talleres (C),0,2,V
Tigre,San Martin (SJ),2,2,E
River Plate,Argentinos,0,0,E
Velez,Banfield,1,1,E
Lanus,Aldosivi,0,1,V
Rosario Central,San Martin (T),2,0,L
Huracan,Boca Juniors,0,0,E
Godoy Cruz,Newells,2,1,L
Union,San Lorenzo,1,1,E
Argentinos,Lanus,2,0,L
San Martin (SJ),Huracan,1,2,V
Def y Justicia,Belgrano,1,1,E
Banfield,Patronato,1,0,L
Talleres (C),Godoy Cruz,1,0,L
San Lorenzo,River Plate,1,1,E
Racing Club,Rosario Central,2,0,L
Estudiantes (LP),Independiente,2,2,E
Aldosivi,Tigre,0,2,V
Colon,Union,0,0,E
Boca Juniors,Velez,3,0,L
Newells,Atl Tucuman,1,2,V
San Martin (T),Gimnasia (LP),1,1,E
Estudiantes (LP),Aldosivi,0,2,V
Atl Tucuman,Tigre,3,0,L
Independiente,Colon,3,0,L
River Plate,San Martin (SJ),4,1,L
Belgrano,Newells,0,0,E
Argentinos,Boca Juniors,0,1,V
Patronato,Gimnasia (LP),0,2,V
Velez,San Martin (T),1,0,L
Union,Talleres (C),2,1,L
Lanus,Racing Club,0,1,V
Godoy Cruz,San Lorenzo,1,0,L
Huracan,Banfield,3,0,L
Rosario Central,Def y Justicia,0,1,V
San Lorenzo,Patronato,3,2,L
Colon,Godoy Cruz,3,1,L
Newells,Lanus,2,0,L
Talleres (C),Velez,1,1,E
Banfield,Independiente,1,1,E
San Martin (T),Argentinos,0,0,E
Tigre,Huracan,0,2,V
San Martin (SJ),Atl Tucuman,1,3,V
Gimnasia (LP),Rosario Central,1,1,E
Boca Juniors,River Plate,0,2,V
Aldosivi,Belgrano,2,0,L
Racing Club,Union,1,0,L
Def y Justicia,Estudiantes (LP),1,1,E
Independiente,Tigre,0,0,E
Lanus,River Plate,1,5,V
Argentinos,Racing Club,0,2,V
Patronato,Talleres (C),2,1,L
Union,Gimnasia (LP),1,0,L
Belgrano,Huracan,0,1,V
Boca Juniors,Colon,3,1,L
Godoy Cruz,Def y Justicia,0,1,V
Velez,Aldosivi,2,0,L
San Martin (T),Banfield,1,1,E
Estudiantes (LP),Newells,1,0,L
San Lorenzo,Atl Tucuman,0,2,V
Rosario Central,San Martin (SJ),1,0,L
Aldosivi,San Martin (T),2,0,L
Gimnasia (LP),Godoy Cruz,1,0,L
San Martin (SJ),Velez,3,1,L
Patronato,Independiente,1,2,V
Banfield,San Lorenzo,2,0,L
Atl Tucuman,Lanus,0,0,E
Rosario Central,Union,0,4,V
Talleres (C),Belgrano,3,0,L
Racing Club,Boca Juniors,2,2,E
Tigre,Estudiantes (LP),1,0,L
Colon,Newells,1,0,L
Huracan,Argentinos,0,0,E
River Plate,Def y Justicia,0,1,V
Velez,Gimnasia (LP),1,0,L
Def y Justicia,Talleres (C),2,0,L
Colon,River Plate,1,0,L
Godoy Cruz,Aldosivi,2,0,L
Lanus,Patronato,3,1,L
Boca Juniors,Rosario Central,0,0,E
Newells,Tigre,2,0,L
Estudiantes (LP),Atl Tucuman,1,1,E
Argentinos,Union,0,1,V
Independiente,Huracan,3,1,L
San Martin (T),Racing Club,2,1,L
Belgrano,Banfield,1,1,E
San Lorenzo,San Martin (SJ),2,1,L
Tigre,Lanus,1,1,E
Huracan,Colon,3,2,L
River Plate,Aldosivi,1,0,L
Gimnasia (LP),Boca Juniors,2,1,L
Union,Godoy Cruz,0,3,V
Talleres (C),San Martin (T),0,0,E
Racing Club,San Lorenzo,2,1,L
Patronato,Rosario Central,2,1,L
Velez,Belgrano,1,0,L
Banfield,Estudiantes (LP),0,2,V
Atl Tucuman,Independiente,4,2,L
Newells,Argentinos,2,0,L
San Martin (SJ),Def y Justicia,0,1,V
Belgrano,Gimnasia (LP),2,0,L
Union,Patronato,2,2,E
Aldosivi,Banfield,1,4,V
Godoy Cruz,Atl Tucuman,1,0,L
Estudiantes (LP),River Plate,1,0,L
Boca Juniors,Tigre,4,1,L
Argentinos,Independiente,0,2,V
Rosario Central,Colon,1,1,E
San Lorenzo,Talleres (C),0,1,V
Racing Club,Newells,1,0,L
San Martin (T),San Martin (SJ),2,0,L
Def y Justicia,Velez,3,2,L
Lanus,Huracan,0,1,V
Talleres (C),Aldosivi,0,0,E
Atl Tucuman,Rosario Central,2,1,L
Colon,Estudiantes (LP),1,1,E
Independiente,Belgrano,2,1,L
Gimnasia (LP),Racing Club,0,3,V
Banfield,Lanus,0,0,E
Tigre,Argentinos,2,1,L
Newells,Def y Justicia,0,0,E
Huracan,Godoy Cruz,2,1,L
Patronato,San Martin (T),3,3,E
Velez,San Lorenzo,0,0,E
River Plate,Union,1,2,V
San Martin (SJ),Boca Juniors,0,4,V
Boca Juniors,Patronato,1,0,L
Gimnasia (LP),San Martin (SJ),0,2,V
Belgrano,Atl Tucuman,1,3,V
Argentinos,Talleres (C),0,2,V
Rosario Central,Estudiantes (LP),2,1,L
Union,Velez,0,2,V
San Martin (T),Colon,0,0,E
Aldosivi,Newells,1,0,L
Racing Club,Banfield,0,0,E
Def y Justicia,Tigre,2,1,L
Lanus,Independiente,1,0,L
San Lorenzo,Huracan,0,0,E
Godoy Cruz,River Plate,0,4,V
Colon,Belgrano,1,1,E
Newells,Patronato,1,0,L
Estudiantes (LP),Lanus,1,1,E
Atl Tucuman,San Martin (T),2,3,V
Banfield,Argentinos,0,1,V
Aldosivi,San Lorenzo,2,2,E
Independiente,Boca Juniors,0,1,V
River Plate,Gimnasia (LP),3,1,L
Tigre,Godoy Cruz,1,3,V
Velez,Rosario Central,2,0,L
San Martin (SJ),Union,2,0,L
Talleres (C),Racing Club,1,3,V
Huracan,Def y Justicia,1,1,E
San Martin (T),Newells,0,3,V
San Lorenzo,Estudiantes (LP),1,1,E
Union,Banfield,0,1,V
Def y Justicia,Colon,3,0,L
Lanus,Talleres (C),2,1,L
Godoy Cruz,Independiente,1,1,E
Argentinos,Aldosivi,1,2,V
Gimnasia (LP),Huracan,2,2,E
Racing Club,San Martin (SJ),1,0,L
Patronato,Velez,3,3,E
Belgrano,Tigre,1,2,V
Rosario Central,River Plate,1,1,E
Boca Juniors,Atl Tucuman,1,2,V
Banfield,San Martin (SJ),1,1,E
Godoy Cruz,Lanus,0,2,V
Def y Justicia,San Lorenzo,1,0,L
Tigre,San Martin (T),2,2,E
Huracan,Rosario Central,2,1,L
Atl Tucuman,Gimnasia (LP),4,1,L
Aldosivi,Racing Club,1,3,V
Belgrano,Union,0,0,E
Independiente,Talleres (C),1,1,E
River Plate,Patronato,1,3,V
Newells,Boca Juniors,1,1,E
Colon,Argentinos,2,0,L
Estudiantes (LP),Velez,1,2,V
Gimnasia (LP),Tigre,3,1,L
San Martin (T),Def y Justicia,1,2,V
Talleres (C),Banfield,3,1,L
San Lorenzo,Independiente,0,0,E
Lanus,Colon,1,0,L
Argentinos,Belgrano,0,0,E
Rosario Central,Aldosivi,0,0,E
Union,Newells,0,0,E
Boca Juniors,Godoy Cruz,2,0,L
Racing Club,Huracan,3,1,L
Velez,River Plate,1,2,V
Patronato,Atl Tucuman,3,0,L
San Martin (SJ),Estudiantes (LP),3,0,L
Tigre,Banfield,4,4,E
Lanus,Gimnasia (LP),2,0,L
Huracan,Velez,1,1,E
Estudiantes (LP),Patronato,1,0,L
Independiente,Union,2,1,L
Atl Tucuman,Talleres (C),0,0,E
Newells,Rosario Central,0,0,E
Godoy Cruz,San Martin (T),3,2,L
River Plate,Racing Club,2,0,L
Belgrano,Boca Juniors,1,1,E
Def y Justicia,Argentinos,2,1,L
Aldosivi,San Martin (SJ),1,0,L
Colon,San Lorenzo,1,1,E
Union,Atl Tucuman,3,0,L
Velez,Colon,1,1,E
San Martin (T),Belgrano,0,0,E
San Lorenzo,Newells,1,1,E
Patronato,Aldosivi,0,0,E
Gimnasia (LP),Def y Justicia,0,1,V
San Martin (SJ),Independiente,1,1,E
Talleres (C),Huracan,0,0,E
Rosario Central,Tigre,0,2,V
Boca Juniors,Lanus,2,1,L
Banfield,River Plate,1,1,E
Argentinos,Estudiantes (LP),2,1,L
Racing Club,Godoy Cruz,3,0,L
Tigre,Patronato,2,1,L
Colon,Banfield,0,1,V
Lanus,Rosario Central,2,0,L
Godoy Cruz,Velez,0,2,V
Huracan,Union,1,3,V
Belgrano,San Lorenzo,0,0,E
Independiente,Racing Club,1,3,V
River Plate,San Martin (T),2,1,L
Estudiantes (LP),Talleres (C),0,1,V
Atl Tucuman,Argentinos,0,0,E
Def y Justicia,Boca Juniors,0,1,V
Aldosivi,Gimnasia (LP),0,0,E
Newells,San Martin (SJ),3,0,L
San Lorenzo,Argentinos,2,3,V
Union,Boca Juniors,1,3,V
Rosario Central,Belgrano,0,0,E
San Martin (T),Lanus,1,2,V
San Martin (SJ),Godoy Cruz,0,0,E
River Plate,Newells,4,2,L
Patronato,Huracan,1,0,L
Talleres (C),Colon,2,0,L
Racing Club,Estudiantes (LP),1,0,L
Gimnasia (LP),Independiente,1,0,L
Banfield,Atl Tucuman,1,2,V
Velez,Tigre,1,2,V
Aldosivi,Def y Justicia,0,1,V
Lanus,San Martin (SJ),1,1,E
Belgrano,Patronato,3,0,L
Godoy Cruz,Rosario Central,0,0,E
Newells,Talleres (C),1,2,V
Colon,Racing Club,1,1,E
Boca Juniors,San Lorenzo,3,0,L
Estudiantes (LP),Gimnasia (LP),1,0,L
Independiente,Aldosivi,2,0,L
Huracan,San Martin (T),1,3,V
Atl Tucuman,River Plate,0,1,V
Tigre,Union,2,2,E
Def y Justicia,Banfield,3,2,L
Argentinos,Velez,0,0,E
Gimnasia (LP),Newells,1,0,L
Aldosivi,Colon,3,0,L
Velez,Atl Tucuman,2,0,L
Union,Lanus,3,0,L
San Martin (SJ),Argentinos,2,3,V
Racing Club,Belgrano,1,0,L
Patronato,Def y Justicia,2,0,L
Talleres (C),Tigre,1,3,V
Rosario Central,San Lorenzo,0,1,V
River Plate,Independiente,3,0,L
San Martin (T),Boca Juniors,1,4,V
Banfield,Godoy Cruz,2,2,E
Huracan,Estudiantes (LP),0,1,V
Newells,Huracan,3,1,L
Boca Juniors,Banfield,2,0,L
San Lorenzo,Gimnasia (LP),1,1,E
Godoy Cruz,Patronato,2,1,L
Independiente,Velez,2,1,L
Talleres (C),River Plate,0,2,V
Atl Tucuman,Aldosivi,1,0,L
Lanus,Belgrano,3,1,L
Argentinos,Rosario Central,0,2,V
Def y Justicia,Union,1,1,E
Tigre,Racing Club,1,1,E
Estudiantes (LP),San Martin (T),1,1,E
Colon,San Martin (SJ),0,0,E
San Martin (T),San Lorenzo,0,0,E
Gimnasia (LP),Colon,3,2,L
Banfield,Newells,1,1,E
Union,Estudiantes (LP),0,0,E
Velez,Lanus,4,0,L
Aldosivi,Boca Juniors,1,1,E
Huracan,Atl Tucuman,2,0,L
Rosario Central,Independiente,1,2,V
River Plate,Tigre,2,3,V
Patronato,Argentinos,2,1,L
Belgrano,Godoy Cruz,1,0,L
San Martin (SJ),Talleres (C),2,1,L
Racing Club,Def y Justicia,1,1,E
Racing Club,Union,0,0,E
Colon,Patronato,0,1,V
San Lorenzo,Godoy Cruz,3,2,L
Lanus,Gimnasia (LP),1,1,E
Argentinos,River Plate,1,1,E
Estudiantes (LP),Aldosivi,1,0,L
Newells,Central Cba (SdE),2,0,L
Talleres (C),Velez,1,0,L
Def y Justicia,Independiente,0,1,V
Boca Juniors,Huracan,0,0,E
Arsenal,Banfield,1,0,L
Atl Tucuman,Rosario Central,1,2,V
Huracan,Colon,2,0,L
Aldosivi,Argentinos,0,0,E
Rosario Central,Talleres (C),1,0,L
Central Cba (SdE),Atl Tucuman,1,0,L
Velez,Racing Club,2,2,E
Union,Def y Justicia,2,1,L
Gimnasia (LP),San Lorenzo,0,1,V
Banfield,Estudiantes (LP),1,0,L
River Plate,Lanus,3,0,L
Patronato,Boca Juniors,0,2,V
Godoy Cruz,Arsenal,0,2,V
Independiente,Newells,2,3,V
Argentinos,Banfield,3,2,L
Talleres (C),Central Cba (SdE),1,1,E
Newells,Union,2,0,L
San Lorenzo,Rosario Central,2,2,E
Racing Club,River Plate,1,6,V
Patronato,Huracan,2,1,L
Def y Justicia,Arsenal,0,3,V
Lanus,Velez,3,1,L
Boca Juniors,Aldosivi,2,0,L
Atl Tucuman,Godoy Cruz,1,0,L
Colon,Gimnasia (LP),2,1,L
Estudiantes (LP),Independiente,3,0,L
Arsenal,San Lorenzo,0,2,V
Gimnasia (LP),Def y Justicia,0,1,V
Velez,Newells,3,1,L
Rosario Central,Patronato,1,1,E
Independiente,Colon,2,0,L
Godoy Cruz,Estudiantes (LP),2,1,L
Union,Lanus,1,2,V
Central Cba (SdE),Racing Club,0,0,E
River Plate,Talleres (C),0,1,V
Banfield,Boca Juniors,0,1,V
Aldosivi,Atl Tucuman,3,0,L
Huracan,Argentinos,0,0,E
Lanus,Central Cba (SdE),1,0,L
Def y Justicia,Banfield,0,0,E
Estudiantes (LP),Velez,0,1,V
Argentinos,Gimnasia (LP),1,0,L
San Lorenzo,Union,2,1,L
Patronato,Independiente,1,0,L
Racing Club,Godoy Cruz,3,1,L
Atl Tucuman,Arsenal,1,0,L
Colon,Rosario Central,1,1,E
Talleres (C),Aldosivi,2,1,L
Newells,Huracan,4,1,L
River Plate,Boca Juniors,0,0,E
Arsenal,Union,4,1,L
Central Cba (SdE),Def y Justicia,1,2,V
Godoy Cruz,Argentinos,0,1,V
Colon,San Lorenzo,2,1,L
Huracan,River Plate,0,4,V
Gimnasia (LP),Racing Club,1,2,V
Banfield,Talleres (C),0,1,V
Rosario Central,Newells,1,1,E
Independiente,Lanus,2,2,E
Boca Juniors,Estudiantes (LP),1,0,L
Aldosivi,Patronato,1,1,E
Velez,Atl Tucuman,1,0,L
Union,Rosario Central,0,0,E
Argentinos,Central Cba (SdE),3,1,L
Estudiantes (LP),Patronato,1,0,L
Def y Justicia,Huracan,0,1,V
San Lorenzo,Boca Juniors,0,2,V
Atl Tucuman,Independiente,0,1,V
Newells,Aldosivi,2,0,L
Godoy Cruz,Banfield,0,2,V
Lanus,Colon,3,2,L
Racing Club,Arsenal,2,1,L
River Plate,Velez,1,2,V
Talleres (C),Gimnasia (LP),2,1,L
Aldosivi,Union,1,2,V
Patronato,Lanus,1,1,E
Arsenal,Estudiantes (LP),3,0,L
Gimnasia (LP),River Plate,0,2,V
Boca Juniors,Newells,1,1,E
Banfield,San Lorenzo,0,1,V
Huracan,Atl Tucuman,0,0,E
Velez,Def y Justicia,0,1,V
Rosario Central,Racing Club,1,1,E
Independiente,Talleres (C),3,2,L
Central Cba (SdE),Godoy Cruz,1,0,L
Colon,Argentinos,1,0,L
Newells,Banfield,0,0,E
Atl Tucuman,Talleres (C),2,1,L
Godoy Cruz,Gimnasia (LP),2,4,V
Argentinos,Arsenal,2,1,L
San Lorenzo,Central Cba (SdE),1,4,V
Estudiantes (LP),Huracan,0,0,E
Racing Club,Aldosivi,2,0,L
Velez,Independiente,2,0,L
Lanus,Rosario Central,1,1,E
Union,Colon,1,0,L
River Plate,Patronato,2,0,L
Def y Justicia,Boca Juniors,0,1,V
Arsenal,River Plate,3,3,E
Boca Juniors,Racing Club,0,1,V
Banfield,Atl Tucuman,1,2,V
Independiente,Argentinos,0,1,V
Patronato,Newells,1,3,V
Talleres (C),Lanus,2,4,V
Aldosivi,Def y Justicia,1,0,L
Gimnasia (LP),Union,0,1,V
Huracan,San Lorenzo,2,0,L
Rosario Central,Velez,0,1,V
Central Cba (SdE),Estudiantes (LP),0,1,V
Colon,Godoy Cruz,2,1,L
Godoy Cruz,Aldosivi,3,2,L
Estudiantes (LP),Rosario Central,3,0,L
Atl Tucuman,Patronato,2,0,L
Newells,Gimnasia (LP),0,4,V
River Plate,Colon,2,1,L
Argentinos,Talleres (C),1,0,L
San Lorenzo,Def y Justicia,1,3,V
Union,Independiente,2,2,E
Racing Club,Banfield,0,0,E
Arsenal,Central Cba (SdE),2,2,E
Velez,Huracan,0,0,E
Lanus,Boca Juniors,2,1,L
Colon,Atl Tucuman,0,2,V
Gimnasia (LP),Estudiantes (LP),0,1,V
Rosario Central,Godoy Cruz,5,2,L
Aldosivi,River Plate,1,2,V
Boca Juniors,Arsenal,5,1,L
Banfield,Union,3,3,E
Talleres (C),Newells,1,0,L
Patronato,Racing Club,1,1,E
Independiente,San Lorenzo,2,1,L
Def y Justicia,Argentinos,0,0,E
Central Cba (SdE),Velez,0,0,E
Huracan,Lanus,0,1,V
Estudiantes (LP),Talleres (C),1,0,L
Union,Atl Tucuman,0,1,V
Lanus,Banfield,0,1,V
San Lorenzo,Argentinos,3,0,L
Godoy Cruz,Independiente,1,2,V
Central Cba (SdE),Patronato,3,2,L
River Plate,Rosario Central,0,1,V
Aldosivi,Gimnasia (LP),0,3,V
Newells,Def y Justicia,2,0,L
Racing Club,Huracan,1,0,L
Velez,Boca Juniors,0,0,E
Arsenal,Colon,2,1,L
Def y Justicia,Lanus,2,0,L
Huracan,Central Cba (SdE),1,1,E
Atl Tucuman,San Lorenzo,2,2,E
Boca Juniors,Union,2,0,L
Banfield,Velez,1,0,L
Gimnasia (LP),Arsenal,0,1,V
Talleres (C),Racing Club,3,3,E
Colon,Estudiantes (LP),3,2,L
Patronato,Godoy Cruz,0,2,V
Rosario Central,Aldosivi,5,1,L
Argentinos,Newells,1,0,L
Independiente,River Plate,1,2,V
Banfield,Gimnasia (LP),1,1,E
Racing Club,Def y Justicia,1,1,E
Estudiantes (LP),Atl Tucuman,1,1,E
Boca Juniors,Argentinos,1,1,E
Newells,River Plate,2,3,V
San Lorenzo,Patronato,2,0,L
Godoy Cruz,Talleres (C),0,5,V
Velez,Colon,3,1,L
Aldosivi,Independiente,0,0,E
Central Cba (SdE),Rosario Central,1,1,E
Arsenal,Lanus,1,1,E
Union,Huracan,1,0,L
Colon,Aldosivi,0,2,V
Independiente,Banfield,0,1,V
Huracan,Arsenal,0,2,V
Talleres (C),Union,0,0,E
Atl Tucuman,Newells,2,2,E
Lanus,Racing Club,1,0,L
Def y Justicia,Godoy Cruz,2,0,L
Gimnasia (LP),Central Cba (SdE),2,1,L
Rosario Central,Boca Juniors,1,0,L
River Plate,San Lorenzo,0,1,V
Patronato,Velez,0,1,V
Argentinos,Estudiantes (LP),1,1,E
Aldosivi,Lanus,2,0,L
Gimnasia (LP),Velez,0,0,E
Union,Argentinos,1,0,L
Rosario Central,Huracan,2,1,L
Arsenal,Newells,1,1,E
Central Cba (SdE),Colon,1,0,L
San Lorenzo,Estudiantes (LP),1,1,E
Godoy Cruz,River Plate,0,1,V
Def y Justicia,Talleres (C),4,1,L
Banfield,Patronato,3,3,E
Racing Club,Atl Tucuman,1,1,E
Boca Juniors,Independiente,0,0,E
Velez,Aldosivi,1,1,E
Huracan,Gimnasia (LP),1,1,E
Independiente,Rosario Central,5,0,L
Estudiantes (LP),Union,3,1,L
Atl Tucuman,Def y Justicia,1,1,E
Argentinos,Racing Club,1,1,E
River Plate,Central Cba (SdE),2,0,L
Lanus,Godoy Cruz,2,0,L
Colon,Banfield,0,1,V
Talleres (C),Boca Juniors,1,2,V
Patronato,Arsenal,2,2,E
Newells,San Lorenzo,1,0,L
Aldosivi,Central Cba (SdE),0,2,V
Argentinos,Lanus,0,0,E
Def y Justicia,Colon,0,0,E
Gimnasia (LP),Patronato,1,1,E
Banfield,Rosario Central,1,1,E
Newells,Estudiantes (LP),0,0,E
Boca Juniors,Atl Tucuman,2,0,L
San Lorenzo,Velez,1,0,L
Racing Club,Independiente,1,0,L
Union,River Plate,1,2,V
Arsenal,Talleres (C),1,1,E
Godoy Cruz,Huracan,2,1,L
Patronato,Union,1,0,L
Colon,Racing Club,1,1,E
Huracan,Aldosivi,0,2,V
Atl Tucuman,Argentinos,0,2,V
Rosario Central,Gimnasia (LP),1,0,L
Talleres (C),San Lorenzo,1,0,L
Lanus,Newells,1,1,E
River Plate,Banfield,1,0,L
Central Cba (SdE),Boca Juniors,0,4,V
Estudiantes (LP),Def y Justicia,1,2,V
Independiente,Arsenal,1,1,E
Velez,Godoy Cruz,0,1,V
Banfield,Aldosivi,0,1,V
Argentinos,Patronato,1,1,E
San Lorenzo,Racing Club,0,1,V
Independiente,Gimnasia (LP),0,1,V
Newells,Colon,4,0,L
Atl Tucuman,Lanus,2,2,E
Arsenal,Velez,0,4,V
Boca Juniors,Godoy Cruz,3,0,L
Estudiantes (LP),River Plate,0,2,V
Def y Justicia,Rosario Central,3,0,L
Union,Central Cba (SdE),0,0,E
Talleres (C),Huracan,4,2,L
Racing Club,Newells,1,1,E
Colon,Boca Juniors,0,4,V
Gimnasia (LP),Atl Tucuman,1,0,L
River Plate,Def y Justicia,1,1,E
Godoy Cruz,Union,1,3,V
Central Cba (SdE),Banfield,1,1,E
Aldosivi,San Lorenzo,1,3,V
Lanus,Estudiantes (LP),1,1,E
Rosario Central,Arsenal,3,1,L
Velez,Argentinos,2,0,L
Patronato,Talleres (C),3,2,L
Huracan,Independiente,1,0,L
Arsenal,Aldosivi,4,0,L
Argentinos,Rosario Central,2,1,L
Banfield,Huracan,0,3,V
Def y Justicia,Patronato,2,0,L
Boca Juniors,Gimnasia (LP),1,0,L
Atl Tucuman,River Plate,1,1,E
San Lorenzo,Lanus,4,3,L
Independiente,Central Cba (SdE),3,0,L
Newells,Godoy Cruz,0,2,V
Talleres (C),Colon,2,0,L
Union,Velez,0,3,V
Estudiantes (LP),Racing Club,1,2,V
Union,Boca Juniors,1,1,E
Sarmiento (J),Estudiantes (LP),0,3,V
Aldosivi,Patronato,0,2,V
Lanus,Atl Tucuman,4,2,L
Newells,Talleres (C),3,2,L
Gimnasia (LP),Platense,2,2,E
Velez,Racing Club,0,0,E
Huracan,Def y Justicia,2,1,L
Arsenal,San Lorenzo,1,1,E
River Plate,Colon,1,2,V
Independiente,Argentinos,0,0,E
Central Cba (SdE),Banfield,1,1,E
Godoy Cruz,Rosario Central,2,1,L
Atl Tucuman,Huracan,1,0,L
Platense,Aldosivi,0,1,V
Colon,Lanus,1,4,V
San Lorenzo,Central Cba (SdE),1,0,L
Racing Club,Gimnasia (LP),0,0,E
Banfield,Boca Juniors,0,0,E
Def y Justicia,Godoy Cruz,1,2,V
Patronato,Sarmiento (J),2,0,L
Rosario Central,Velez,1,0,L
River Plate,Union,4,0,L
Estudiantes (LP),Independiente,0,1,V
Talleres (C),Arsenal,2,0,L
Argentinos,Newells,1,0,L
Huracan,Colon,1,1,E
Aldosivi,Racing Club,0,2,V
Boca Juniors,San Lorenzo,0,2,V
Union,Banfield,0,1,V
Godoy Cruz,Atl Tucuman,1,2,V
Velez,Def y Justicia,0,0,E
Sarmiento (J),Platense,1,0,L
Independiente,Patronato,2,0,L
Lanus,River Plate,0,3,V
Central Cba (SdE),Talleres (C),2,1,L
Arsenal,Argentinos,1,0,L
Gimnasia (LP),Rosario Central,1,0,L
Newells,Estudiantes (LP),4,2,L
Colon,Godoy Cruz,1,0,L
Lanus,Union,1,1,E
Racing Club,Sarmiento (J),1,0,L
Platense,Independiente,1,1,E
Def y Justicia,Gimnasia (LP),3,2,L
Talleres (C),Boca Juniors,0,0,E
River Plate,Huracan,1,1,E
San Lorenzo,Banfield,1,1,E
Patronato,Newells,0,0,E
Argentinos,Central Cba (SdE),1,1,E
Estudiantes (LP),Arsenal,4,0,L
Rosario Central,Aldosivi,1,2,V
Atl Tucuman,Velez,0,0,E
Sarmiento (J),Rosario Central,1,0,L
Newells,Platense,1,0,L
Banfield,Talleres (C),0,1,V
Union,San Lorenzo,4,0,L
Huracan,Lanus,0,1,V
Godoy Cruz,River Plate,2,1,L
Gimnasia (LP),Atl Tucuman,1,0,L
Velez,Colon,0,1,V
Boca Juniors,Argentinos,1,1,E
Independiente,Racing Club,1,0,L
Arsenal,Patronato,2,2,E
Aldosivi,Def y Justicia,1,0,L
Central Cba (SdE),Estudiantes (LP),1,2,V
Colon,Gimnasia (LP),1,0,L
Huracan,Union,0,0,E
Atl Tucuman,Aldosivi,2,2,E
Argentinos,Banfield,2,0,L
River Plate,Velez,2,0,L
Rosario Central,Independiente,1,2,V
Patronato,Central Cba (SdE),1,0,L
Platense,Arsenal,2,1,L
Estudiantes (LP),Boca Juniors,1,0,L
Racing Club,Newells,2,0,L
Talleres (C),San Lorenzo,2,0,L
Def y Justicia,Sarmiento (J),4,2,L
Lanus,Godoy Cruz,3,1,L
Aldosivi,Colon,3,0,L
Sarmiento (J),Atl Tucuman,3,0,L
Banfield,Estudiantes (LP),1,1,E
Independiente,Def y Justicia,0,0,E
Central Cba (SdE),Platense,2,2,E
Godoy Cruz,Huracan,1,1,E
Velez,Lanus,5,1,L
Arsenal,Racing Club,0,3,V
Boca Juniors,Patronato,1,0,L
Union,Talleres (C),1,2,V
Newells,Rosario Central,1,1,E
San Lorenzo,Argentinos,0,1,V
