equipo_local,equipo_visitante,goles_local,goles_visitante,resultado
Banfield,Belgrano,1,2,V
Olimpo,Aldosivi,3,1,L
Boca Juniors,Quilmes,2,1,L
Def y Justicia,Nueva Chicago,2,1,L
Atl Rafaela,River Plate,1,5,V
Racing Club,Sarmiento (J),2,1,L
Colon,Lanus,1,2,V
Tigre,Newells,0,0,E
San Martin (SJ),Huracan,3,2,L
Rosario Central,Velez,0,0,E
Temperley,Independiente,0,1,V
Gimnasia (LP),Godoy Cruz,2,0,L
Crucero (M),Estudiantes (LP),1,2,V
Argentinos,Union,1,2,V
Aldosivi,Temperley,0,0,E
Gimnasia (LP),Crucero (M),2,1,L
Sarmiento (J),Tigre,0,1,V
River Plate,Colon,3,1,L
Union,Banfield,0,0,E
Independiente,Atl Rafaela,2,0,L
Velez,Olimpo,0,2,V
Godoy Cruz,San Lorenzo,1,1,E
Newells,Rosario Central,0,1,V
Quilmes,Racing Club,2,1,L
Huracan,Estudiantes (LP),1,0,L
Lanus,Def y Justicia,0,1,V
Belgrano,Boca Juniors,0,1,V
Nueva Chicago,San Martin (SJ),0,0,E
Arsenal,Argentinos,3,2,L
Atl Rafaela,Aldosivi,2,1,L
Temperley,Velez,2,1,L
Argentinos,Godoy Cruz,0,0,E
Estudiantes (LP),Nueva Chicago,1,0,L
San Lorenzo,Gimnasia (LP),1,0,L
Colon,Independiente,0,1,V
Rosario Central,Sarmiento (J),1,1,E
Olimpo,Newells,2,0,L
Racing Club,Belgrano,0,0,E
Crucero (M),Huracan,3,3,E
Boca Juniors,Union,3,4,V
Tigre,Quilmes,0,1,V
Banfield,Arsenal,4,1,L
San Martin (SJ),Lanus,1,1,E
Def y Justicia,River Plate,1,0,L
Sarmiento (J),Olimpo,0,0,E
Belgrano,Tigre,1,0,L
Independiente,Def y Justicia,1,0,L
Nueva Chicago,Huracan,3,0,L
Godoy Cruz,Banfield,1,2,V
Aldosivi,Colon,1,1,E
Union,Racing Club,1,2,V
Lanus,Estudiantes (LP),0,0,E
Gimnasia (LP),Argentinos,4,2,L
San Lorenzo,Crucero (M),2,1,L
Velez,Atl Rafaela,2,2,E
Newells,Temperley,0,0,E
Arsenal,Boca Juniors,1,2,V
River Plate,San Martin (SJ),0,1,V
Quilmes,Rosario Central,3,1,L
Atl Rafaela,Newells,1,1,E
Banfield,Gimnasia (LP),1,0,L
Olimpo,Quilmes,0,1,V
Racing Club,Arsenal,2,1,L
Colon,Velez,0,0,E
San Martin (SJ),Independiente,1,1,E
Argentinos,San Lorenzo,2,3,V
Crucero (M),Nueva Chicago,0,1,V
Rosario Central,Belgrano,3,1,L
Huracan,Lanus,0,0,E
Tigre,Union,2,1,L
Boca Juniors,Godoy Cruz,2,0,L
Estudiantes (LP),River Plate,2,1,L
Def y Justicia,Aldosivi,4,0,L
Temperley,Sarmiento (J),0,0,E
Argentinos,Crucero (M),4,0,L
Quilmes,Temperley,0,0,E
Aldosivi,San Martin (SJ),2,0,L
Gimnasia (LP),Boca Juniors,1,2,V
Velez,Def y Justicia,2,1,L
Newells,Colon,0,1,V
Arsenal,Tigre,2,0,L
San Lorenzo,Banfield,0,0,E
Sarmiento (J),Atl Rafaela,0,1,V
River Plate,Huracan,1,1,E
Union,Rosario Central,0,1,V
Independiente,Estudiantes (LP),1,1,E
Belgrano,Olimpo,0,0,E
Lanus,Nueva Chicago,1,0,L
Godoy Cruz,Racing Club,1,2,V
Tigre,Godoy Cruz,2,1,L
Banfield,Argentinos,1,1,E
Crucero (M),Lanus,1,3,V
Rosario Central,Arsenal,1,0,L
Colon,Sarmiento (J),0,1,V
Huracan,Independiente,1,1,E
Def y Justicia,Newells,1,0,L
Temperley,Belgrano,2,1,L
Nueva Chicago,River Plate,1,4,V
San Martin (SJ),Velez,3,1,L
Boca Juniors,San Lorenzo,0,1,V
Olimpo,Union,0,0,E
Racing Club,Gimnasia (LP),2,0,L
Atl Rafaela,Quilmes,2,4,V
Estudiantes (LP),Aldosivi,2,1,L
Def y Justicia,Arsenal,1,0,L
Nueva Chicago,Argentinos,1,2,V
Independiente,Racing Club,3,0,L
San Martin (SJ),Godoy Cruz,1,2,V
